datetime,city,state,country,shape,duration_seconds,duration_text,description,date_posted,latitude,longitude,month,migration_season,region
2010-10-13 20:30:00,martinez,ca,us,other,8,~8 seconds,Faintly glowing wedge-shaped craft flies swiftly and silently over San Francisco East Bay town.,11/21/2010,38.0194444,-122.1330556,10.0,True,SF Bay
2012-10-27 21:00:00,santa rosa,ca,us,chevron,1800,30 minutes,Chevron Craft Seen over Sonoma County 10/27/12 @ 9pm,10/30/2012,38.4405556,-122.7133333,10.0,True,SF Bay
1999-11-16 20:50:00,alameda,ca,us,chevron,5,5 seconds,a flying chevron with extremely white bright lights for about 5 seconds and it disapeared in clear sky while banking right,8/5/2001,37.7652778,-122.2405556,11.0,True,SF Bay
1999-11-23 11:15:00,half moon bay,ca,us,chevron,300,5min.-+,70+ chevron-shaped aircraft&#44 approx. 40&#44000`&#44 flying from northeast to southwest over Half Moon Bay&#44 CA&#44 like someone opened up at box,11/23/1999,37.4636111,-122.4275,11.0,True,SF Bay
2003-01-15 19:30:00,napa,ca,us,chevron,6,6 seconds,Dark chevron shape zooming across the night sky with no lights on it.,9/28/2003,38.2972222,-122.2844444,1.0,False,SF Bay
2003-12-17 06:15:00,san jose,ca,us,diamond,20,15 or 20 seconds,Formation of 12 to 14 large birdlke objects going North to South over Downtown San Jose,12/19/2003,37.3394444,-121.8938889,12.0,False,SF Bay
2012-01-07 19:30:00,mountain view,ca,us,chevron,10,10 sec,Chevron shaped craft near Moffett Field Airbase,1/12/2012,37.3861111,-122.0827778,1.0,False,SF Bay
2012-01-09 22:45:00,yountville/oakville,ca,,chevron,300,3-5 min,A large chevron shaped craft with a full array of white lights on its entire forward edge&#44 moving very slowly.,1/24/2012,38.414444,-122.373889,1.0,False,SF Bay
2003-02-01 22:30:00,mountain view,ca,us,changing,30,30 seconds,flock like formation of faint stars movind across the sky.  started off strong and wound up fadding off.  There where 35 to 40 faint st,3/11/2003,37.3861111,-122.0827778,2.0,False,SF Bay
1998-03-13 13:30:00,san jose,ca,us,sphere,15,15 sec.,At approximately 1:30pm on 3/13/98&#44 a group of seagulls caught my eye. As I looked up at the gulls&#44I noticed above them at about 4-5 wh,1/28/1999,37.3394444,-121.8938889,3.0,True,SF Bay
