lat,lon,report_count,seismic_ratio,city_label,bedrock_type,mag_anomaly,mag_gradient,nearest_dist_deg
45.524,-122.675,342,0.18,Portland,alluvial_fill,344.5,29.994509,0.013121273620996165
37.775,-122.418,191,24.8,SF Bay Area,serpentinite_franciscan,81.6,80.32478,0.007498962557579289
37.339,-121.894,191,20.56,SF Bay Area,franciscan_melange,-0.7,13.874207,0.006890115079552727
45.639,-122.66,137,0.16,Portland,alluvial_fill,539.1,62.85091,0.005488317462691797
38.441,-122.713,77,12.17,SF Bay Area,serpentinite_franciscan,-21.0,17.885927,0.008290718010653694
36.974,-122.03,54,inf,SF Bay Area,franciscan_melange,-15.7,2.5570297,0.01022953056765025
37.669,-122.08,54,35.33,SF Bay Area,franciscan_melange,93.5,18.329365,0.004162867303988108
37.804,-122.27,52,34.0,SF Bay Area,sandstone_shale,-17.8,1.8994738,0.00533741488021973
45.487,-122.802,51,0.43,Portland,basalt,366.0,10.77211,0.009183945960446378
38.005,-121.805,44,28.67,SF Bay Area,franciscan_melange,69.8,1.9507934,0.011352218247060765
38.297,-122.284,38,inf,SF Bay Area,volcanic_basalt,-28.1,1.6029972,0.008659023053601068
45.523,-122.989,33,0.09,Portland,basalt,137.7,69.093895,0.00887603834393741
37.872,-122.272,32,inf,SF Bay Area,sandstone_shale,7.6,12.262202,0.007600941648351353
37.548,-121.988,32,10.0,SF Bay Area,franciscan_melange,14.2,15.763199,0.008088780490289616
38.249,-122.039,32,10.0,SF Bay Area,franciscan_melange,19.3,8.849632,0.009438578329705882
37.354,-121.954,31,9.67,SF Bay Area,franciscan_melange,-13.2,2.4499795,0.011868638326183472
38.232,-122.636,28,18.0,SF Bay Area,serpentinite_franciscan,-11.0,18.97961,0.006062011888132935
38.357,-121.987,28,inf,SF Bay Area,franciscan_melange,47.8,1.4958614,0.005685363640778939
38.545,-121.739,28,inf,SF Bay Area,franciscan_melange,284.1,23.12298,0.011149342098907
45.498,-122.43,28,0.18,Portland,alluvial_sediment,288.4,58.992313,0.008716256401674966
37.682,-121.767,26,inf,SF Bay Area,franciscan_melange,170.3,10.264811,0.006362515292854558
37.974,-122.53,25,16.0,SF Bay Area,serpentinite_franciscan,-25.6,1.6868905,0.0068974996550448696
37.369,-122.035,25,7.67,SF Bay Area,franciscan_melange,-13.8,0.22271049,0.009313732662482394
38.019,-122.133,24,15.33,SF Bay Area,franciscan_melange,171.2,27.980179,0.00588426717224687
37.978,-122.03,24,15.33,SF Bay Area,franciscan_melange,345.0,35.763577,0.009108172247367917
37.442,-122.142,22,14.0,SF Bay Area,franciscan_melange,-3.9,11.36264,0.006791036284345319
45.421,-122.669,22,0.25,Portland,alluvial_fill,338.4,27.51516,0.008320795472383933
37.287,-121.949,21,6.33,SF Bay Area,franciscan_melange,-20.9,5.510935,0.008351353547085119
45.358,-122.606,20,0.12,Portland,alluvial_fill,28.4,95.13671,0.011479410449489753
